DateTime,Entries,UniqueIPs
1582851391,4597,4597
1582853289,4659,4659
1582855379,4708,4708
1582857375,4758,4758
1582859321,4820,4820
1582861304,4838,4838
1582863160,4835,4835
1582865056,4856,4856
1582866992,4881,4881
1582868898,4910,4910
1582870824,4981,4981
1582872744,5013,5013
1582874662,5048,5048
1582876592,5035,5035
1582878498,5083,5083
1582880683,5097,5097
1582882576,5106,5106
1582884520,5093,5093
1582886420,5071,5071
1582888348,5044,5044
1582890282,5034,5034
1582892223,5020,5020
1582894099,4976,4976
1582896026,4935,4935
1582897936,4888,4888
1582899859,4884,4884
1582901790,4867,4867
1582903692,4845,4845
1582906577,4767,4767
1582908496,4696,4696
1582910431,4641,4641
1582912339,4567,4567
1582914253,4545,4545
1582916191,4481,4481
1582918095,4416,4416
1582921002,4306,4306
1582923146,4212,4212
1582925062,4151,4151
1582927012,4083,4083
1582928908,3983,3983
1582931802,3848,3848
1582933702,3781,3781
1582935631,3739,3739
1582937541,3655,3655
1582939487,3540,3540
1582941400,3468,3468
1582943297,3377,3377
1582945444,3265,3265
1582947376,3192,3192
1582949320,3154,3154
1582951219,3089,3089
1582953136,3007,3007
1582955091,2936,2936
1582956994,2849,2849
1582958909,2763,2763
1582960831,2689,2689
1582962741,2606,2606
1582964657,2522,2522
1582966589,2450,2450
1582968496,2387,2387
1582970598,2375,2375
1582972577,2377,2377
1582974515,2382,2382
